iter	Passed	Remaining
0	50	50467
1	51	25828
2	52	17525
3	53	13360
4	54	10855
5	55	9182
6	56	7981
7	57	7081
8	57	6385
9	58	5827
10	59	5372
11	60	4989
12	61	4666
13	62	4394
14	63	4164
15	64	3951
16	65	3776
17	66	3617
18	67	3474
19	68	3340
20	68	3216
21	69	3105
22	70	3003
23	71	2908
24	72	2822
25	73	2738
26	73	2665
27	74	2599
28	75	2538
29	76	2480
30	77	2426
31	78	2377
32	79	2328
33	80	2284
34	81	2239
35	82	2196
36	82	2156
37	83	2117
38	84	2079
39	85	2043
40	85	2008
41	86	1976
42	88	1960
43	88	1928
44	89	1895
45	89	1864
46	90	1835
47	91	1806
48	91	1781
49	92	1757
50	93	1735
51	93	1711
52	94	1693
53	95	1671
54	95	1648
55	96	1626
56	96	1604
57	97	1583
58	98	1564
59	98	1544
60	99	1526
61	99	1506
62	100	1488
63	100	1470
64	101	1454
65	101	1437
66	102	1420
67	102	1404
68	102	1389
69	103	1373
70	103	1359
71	104	1344
72	104	1330
73	105	1316
74	105	1302
75	106	1288
76	106	1275
77	107	1267
78	107	1254
79	108	1244
80	108	1233
81	109	1223
82	109	1210
83	109	1199
84	110	1188
85	110	1178
86	111	1167
87	111	1158
88	112	1150
89	112	1140
90	113	1129
91	113	1119
92	113	1110
93	114	1100
94	114	1090
95	114	1081
96	115	1072
97	115	1063
98	115	1055
99	116	1046
100	116	1039
101	117	1031
102	117	1023
103	117	1015
104	118	1007
105	118	999
106	118	992
107	119	984
108	119	977
109	119	970
110	120	963
111	120	956
112	121	949
113	121	943
114	121	936
115	122	933
116	122	928
117	123	923
118	124	918
119	124	913
120	125	909
121	125	903
122	125	898
123	126	893
124	126	887
125	127	883
126	127	877
127	128	872
128	128	867
129	128	863
130	129	858
131	129	853
132	130	847
133	130	842
134	130	838
135	131	833
136	131	828
137	131	823
138	132	818
139	132	813
140	132	809
141	133	804
142	133	799
143	133	795
144	134	791
145	134	786
146	134	782
147	135	778
148	135	774
149	135	770
150	136	766
151	136	762
152	137	760
153	137	756
154	138	753
155	138	750
156	139	747
157	139	744
158	140	741
159	140	738
160	140	734
161	141	730
162	141	727
163	142	724
164	142	721
165	143	718
166	143	715
167	143	712
168	144	709
169	144	706
170	145	703
171	145	699
172	145	696
173	146	693
174	146	690
175	146	687
176	147	684
177	147	681
178	147	678
179	148	675
180	148	672
181	148	669
182	149	666
183	149	663
184	149	660
185	150	657
186	150	655
187	151	652
188	151	649
189	152	648
190	152	646
191	154	648
192	154	647
193	155	646
194	156	644
195	156	642
196	157	639
197	157	637
198	157	635
199	158	633
200	158	631
201	159	628
202	159	626
203	159	624
204	160	621
205	160	619
206	160	616
207	161	614
208	161	611
209	162	609
210	162	607
211	162	604
212	163	602
213	163	600
214	163	598
215	164	595
216	164	593
217	164	591
218	165	589
219	165	586
220	165	584
221	166	582
222	166	580
223	166	578
224	167	577
225	168	576
226	168	574
227	169	573
228	169	571
229	170	569
230	170	568
231	171	566
232	171	564
233	172	563
234	172	561
235	172	559
236	173	557
237	173	556
238	174	554
239	174	552
240	174	550
241	175	548
242	175	546
243	175	545
244	176	543
245	176	541
246	176	539
247	177	537
248	177	535
249	178	534
250	178	532
251	178	530
252	179	528
253	179	526
254	179	525
255	180	523
256	180	521
257	180	520
258	181	518
259	181	516
260	181	515
261	182	514
262	183	512
263	183	511
264	184	510
265	184	509
266	185	508
267	185	507
268	186	505
269	186	504
270	187	503
271	187	502
272	188	500
273	188	499
274	188	498
275	189	496
276	189	495
277	190	493
278	190	492
279	190	490
280	191	489
281	191	487
282	191	486
283	192	484
284	192	483
285	193	481
286	193	480
287	193	478
288	194	477
289	194	475
290	194	474
291	195	473
292	195	471
293	195	470
294	196	468
295	196	467
296	196	465
297	197	464
298	197	463
299	198	463
300	199	462
301	199	461
302	200	460
303	200	459
304	200	457
305	201	456
306	201	455
307	202	454
308	202	453
309	203	452
310	203	451
311	204	449
312	204	448
313	204	447
314	205	446
315	205	444
316	205	443
317	206	442
318	206	441
319	206	439
320	207	438
321	207	437
322	208	435
323	208	434
324	208	433
325	209	432
326	209	431
327	209	429
328	210	428
329	210	427
330	210	426
331	211	425
332	211	424
333	212	422
334	212	422
335	213	421
336	213	420
337	214	420
338	215	419
339	215	418
340	216	417
341	216	416
342	216	415
343	217	414
344	217	413
345	218	412
346	218	411
347	219	410
348	219	409
349	219	408
350	220	407
351	220	406
352	221	405
353	221	404
354	221	403
355	222	402
356	222	400
357	222	399
358	223	398
359	223	397
360	224	396
361	224	395
362	224	394
363	225	393
364	225	392
365	226	391
366	226	390
367	226	389
368	227	388
369	228	388
370	228	387
371	229	386
372	229	385
373	230	385
374	230	384
375	231	383
376	231	383
377	232	382
378	232	381
379	233	380
380	233	379
381	234	378
382	234	378
383	235	377
384	235	376
385	235	375
386	236	374
387	236	373
388	237	372
389	237	371
390	237	370
391	238	369
392	239	369
393	239	368
394	239	367
395	240	366
396	240	365
397	240	364
398	241	363
399	241	362
400	241	361
401	242	360
402	242	359
403	243	359
404	243	358
405	244	357
406	245	357
407	245	356
408	246	355
409	246	354
410	247	354
411	247	353
412	248	352
413	248	351
414	249	351
415	249	350
416	249	349
417	250	348
418	250	347
419	250	346
420	251	345
421	251	344
422	252	343
423	252	342
424	252	341
425	253	341
426	253	340
427	253	339
428	254	338
429	254	337
430	254	336
431	255	335
432	255	334
433	255	333
434	256	332
435	256	331
436	256	330
437	257	330
438	257	329
439	258	328
440	258	327
441	259	327
442	259	326
443	260	325
444	260	325
445	261	324
446	261	323
447	262	323
448	262	322
449	263	321
450	263	320
